household_id,id,country,region,area,community,dataset,d_seagrass,d_coral,d_mangrove,seagrass_10km,coral_10km,mangrove_10km,seagrass_coral_10km,regional_hdi,country_hdi,poverty,families_n,men_n,women_n,adults,children_n,people_total,first_adult,subsequent_adults,children,OECD-modified scale,not_working,retired,dependents_n,aquaculture,builder,carpenter,civil_servant,driver,farmer,middleman,fishing,tourism,landlord,manufacturing,mining,misc,religious,trade,admin,teaching,ocupational_multiplicity,multiplicity,non_fishing_livilihoods,own_fishing_vessel,fishing_vessel_n,fishing_vessel_type,own_motorboat,own_traditional_boat,own_fishing_gear,fishing_gear_n,fishing_gear_capital,fishing_gear_type,no_gear,static,traps,motile,basic,fishing_capital,direct_benefit,income_benefit,food_benefit,benefits,0_benefit,currency,PPP,year,inflation,annual_household_income,household_income_inflation,USD_income,2024_income_USD,international_dollars,dollar_day,adj_income,adj_income_24,adj_dollar_day_24,poverty_line,collect_fish,collect_octopus,collect_shark,collect_sea_cucumber,collect_inverts,collect_marine_resources,seaweed_farmer,fish_seagrass,seagrass_only,fish_other_n,fish_coral,coral_only,fish_mangrove,fish_other,fish_seagrass_coral,fish_seagrass_mangrove,habitats_n,prefered_habitat,why_habitat,fish_week,diet_diversity_adj,diet_diversity_weekly,cereals,roots and tubers,milk,fruit,vegetables,nuts_seeds,fish,meat,eggs
HS_TZ_zanzibar_36,36,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,1,1,2,0,2,1,0.5,0,1.5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,0.5,3,1,1,Traditiol Boat,0,1,1,1,0,Handline,0,0,0,0,1,1,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,100000,128000,43.98,56.2944,32.22071188,0.12,29.32,21.48,0.06,2.15,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,seagrass,Reliability,7,6,6,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_27,27,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,1,1,1,2,2,4,1,0.5,0.6,2.1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,,0,0,0,0,0,,1,0,0,0,0,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,150000,192000,65.96,84.4288,48.33106781,0.18,31.41,23.01,0.06,2.15,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,seagrass,Empty,4,3,3,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_29,29,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,1,1,1,2,6,8,1,0.5,1.8,3.3,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,,0,0,1,1,0,Spear,0,0,0,0,1,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,200000,256000,87.95,112.576,64.44142375,0.24,26.65,19.53,0.05,2.15,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,seagrass,Empty,4,4,3,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_53,53,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,1,1,2,5,7,1,0.5,1.5,3,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,,0,0,1,1,0,Handline,0,0,0,0,1,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,200000,256000,87.95,112.576,64.44142375,0.24,29.32,21.48,0.06,2.15,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,coral reef,Empty,6,5,5,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_54,54,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,2,1,3,3,6,1,1,0.9,2.9,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1.5,1,1,1,Traditiol Boat,0,1,1,1,0,Handline,0,0,0,0,1,1,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,200000,256000,87.95,112.576,64.44142375,0.24,30.33,22.22,0.06,2.15,1,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,coral reef,Empty,7,5,5,1,1,1,1,1,1,0,0,0
HS_ID_kaledupa_176,176,Indonesia,Wakatobi,Kaledupa,Lewuto,Kaledupa,0.642,1.59,0.198,1,1,1,2,0.685,0.718,3.6,1,1,1,2,3,5,1,0.5,0.9,2.4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,Traditiol Boat,0,1,1,1,1,Fish fence,0,1,0,0,0,2,1,1,0,Livelihood security,0,IDR,"15,612.80",2012,1.37,4800000,6576000,355.56,487.1172,421.1928674,0.97,148.15,175.50,0.48,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no marine resources,Empty,7,3,3,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_97,97,Tanzania,Zanzibar,Unguja North,Nungwi,Zanzibar,0.351,0.904,6.84,1,1,1,2,0.56,0.529,55.4,1,2,3,5,3,8,1,2,0.9,3.9,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2.5,1,0,0,,0,0,0,0,0,,1,0,0,0,0,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,200000,256000,87.95,112.576,64.44142375,0.24,22.55,16.52,0.05,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no marine resources,Empty,7,7,6,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_20,20,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,1,1,1,2,0,2,1,0.5,0,1.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,,0,0,0,0,0,,1,0,0,0,0,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,250000,320000,109.94,140.7232,80.55177969,0.3,73.29,53.70,0.15,2.15,0,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,seagrass,Reliability,6,6,6,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_22,22,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,1,1,1,2,3,5,1,0.5,0.9,2.4,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,0.5,3,0,0,,0,0,0,0,0,,1,0,0,0,0,0,0,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,250000,320000,109.94,140.7232,80.55177969,0.3,45.81,33.56,0.09,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no marine resources,Empty,7,6,5,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_5,5,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,1,1,1,2,1,3,1,0.5,0.3,1.8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,,0,0,0,0,0,,1,0,0,0,0,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,250000,320000,109.94,140.7232,80.55177969,0.3,61.08,44.75,0.12,2.15,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,seagrass,Reliability,4,4,3,1,1,0,1,1,1,0,0,0
